,Unnamed: 0,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
608,190718,2021,2020-21,1610612747,Los Angeles Lakers,202083,Wesley Matthews,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.09,8.254999999999999,27,3,1,7
610,190720,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.46,5.835,4,3,1,20
611,190721,2021,2020-21,1610612747,Los Angeles Lakers,1626149,Montrezl Harrell,C,C,12-22-2020,22000000,LAL,LAC,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,1,38
612,190722,2021,2020-21,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.15,6.085,3,3,1,41
614,190724,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1699999999999999,6.025,3,3,1,52
615,190725,2021,2020-21,1610612746,Los Angeles Clippers,1628379,Luke Kennard,G,SG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.05,7.035,12,3,2,10
619,190729,2021,2020-21,1610612746,Los Angeles Clippers,101150,Lou Williams,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.37,5.945,23,3,2,32
620,190730,2021,2020-21,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,0.9,7.045,15,3,2,52
621,190731,2021,2020-21,1610612746,Los Angeles Clippers,202335,Patrick Patterson,F,PF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.12,6.795,15,3,3,6
622,190732,2021,2020-21,1610612747,Los Angeles Lakers,1626149,Montrezl Harrell,C,C,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.6599999999999999,6.945,13,3,3,20
624,190734,2021,2020-21,1610612747,Los Angeles Lakers,203076,Anthony Davis,F,PF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,-0.97,7.365,18,3,3,31
625,190735,2021,2020-21,1610612746,Los Angeles Clippers,101150,Lou Williams,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.3299999999999999,6.155,5,3,3,38
626,190736,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4900000000000001,5.945,5,3,3,49
628,190738,2021,2020-21,1610612746,Los Angeles Clippers,1627826,Ivica Zubac,C,C,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,4,4
630,190740,2021,2020-21,1610612746,Los Angeles Clippers,1628379,Luke Kennard,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.43,5.995,4,3,4,9
631,190741,2021,2020-21,1610612747,Los Angeles Lakers,1628398,Kyle Kuzma,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,-2.33,6.4350000000000005,24,3,4,20
632,190742,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,1.09,6.045,11,3,4,32
635,190745,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.32,6.605,8,3,4,49
636,190746,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.06,5.925,1,3,5,4
640,190750,2021,2020-21,1610612747,Los Angeles Lakers,1626149,Montrezl Harrell,C,C,12-22-2020,22000000,LAL,LAC,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.0699999999999999,5.885,1,3,5,29
642,190752,2021,2020-21,1610612746,Los Angeles Clippers,202331,Paul George,F,SF,12-22-2020,22000000,LAL,LAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.03,8.135,25,3,5,41
644,190754,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.47,8.295,25,3,5,48
646,190756,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,2.38,6.635,25,3,5,57
647,190757,2021,2020-21,1610612747,Los Angeles Lakers,1626149,Montrezl Harrell,C,C,12-22-2020,22000000,LAL,LAC,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,6.065,2,3,6,19
649,190759,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.04,6.095,3,3,6,24
651,190761,2021,2020-21,1610612746,Los Angeles Clippers,201587,Nicolas Batum,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.7399999999999998,7.675,25,3,6,34
653,190763,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.13,6.125,3,3,6,42
656,190766,2021,2020-21,1610612746,Los Angeles Clippers,201976,Patrick Beverley,G,PG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.775,0,3,7,29
658,190768,2021,2020-21,1610612746,Los Angeles Clippers,201976,Patrick Beverley,G,PG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.12,5.885,1,3,7,33
659,190769,2021,2020-21,1610612747,Los Angeles Lakers,2544,LeBron James,G,PG,12-22-2020,22000000,LAL,LAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,-1.19,8.405000000000001,28,3,7,52
661,190771,2021,2020-21,1610612746,Los Angeles Clippers,202695,Kawhi Leonard,F,SF,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.09,6.795,10,3,8,13
663,190773,2021,2020-21,1610612747,Los Angeles Lakers,203471,Dennis Schroder,G,SG,12-22-2020,22000000,LAL,LAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.02,6.035,2,3,8,20
